development,origin,values
2001,2001,2202584.0
2002,2002,2350650.0
2003,2003,2321885.0
2004,2004,2171487.0
2005,2005,2140328.0
2006,2006,2290664.0
2007,2007,2148216.0
2008,2008,2143728.0
2009,2009,2144738.0
2002,2001,3210449.0
2003,2002,3553023.0
2004,2003,3424190.0
2005,2004,3165274.0
2006,2005,3157079.0
2007,2006,3338197.0
2008,2007,3219775.0
2009,2008,3158581.0
2003,2001,3468122.0
2004,2002,3783846.0
2005,2003,3700876.0
2006,2004,3395841.0
2007,2005,3399262.0
2008,2006,3550332.0
2009,2007,3428335.0
2004,2001,3545070.0
2005,2002,3840067.0
2006,2003,3798198.0
2007,2004,3466453.0
2008,2005,3500520.0
2009,2006,3641036.0
2005,2001,3621627.0
2006,2002,3865187.0
2007,2003,3854755.0
2008,2004,3515703.0
2009,2005,3585812.0
2006,2001,3644636.0
2007,2002,3878744.0
2008,2003,3878993.0
2009,2004,3548422.0
2007,2001,3669012.0
2008,2002,3898281.0
2009,2003,3898825.0
2008,2001,3674511.0
2009,2002,3902425.0
2009,2001,3678633.0
