Region,LOB,origin,development,reportedCount,Incurred
New_York,COLL,2016-01,2016-01,9,19805.0
New_York,COLL,2016-01,2016-02,0,9655.0
New_York,COLL,2016-01,2016-03,0,8868.0
New_York,COLL,2016-01,2016-04,0,2600.0
New_York,COLL,2016-02,2016-02,9,19825.0
New_York,COLL,2016-02,2016-03,0,11184.0
New_York,COLL,2016-02,2016-04,0,8309.0
New_York,COLL,2016-02,2016-05,0,1113.0
New_York,COLL,2016-03,2016-03,11,17660.0
New_York,COLL,2016-03,2016-04,0,10545.0
New_York,COLL,2016-03,2016-05,0,7959.0
New_York,COLL,2016-03,2016-06,0,472.0
New_York,COLL,2016-04,2016-04,7,16580.0
New_York,COLL,2016-04,2016-05,0,9301.0
New_York,COLL,2016-04,2016-06,0,8680.0
New_York,COLL,2016-04,2016-07,0,705.0
New_York,COLL,2016-05,2016-05,16,34919.0
New_York,COLL,2016-05,2016-06,0,21625.0
New_York,COLL,2016-05,2016-07,0,15678.0
New_York,COLL,2016-05,2016-08,0,-1249.0
New_York,COLL,2016-06,2016-06,14,33499.0
New_York,COLL,2016-06,2016-07,0,17804.0
New_York,COLL,2016-06,2016-08,0,13046.0
New_York,COLL,2016-06,2016-09,0,3466.0
New_York,COLL,2016-07,2016-07,6,14179.0
New_York,COLL,2016-07,2016-08,0,7607.0
New_York,COLL,2016-07,2016-09,0,6184.0
New_York,COLL,2016-07,2016-10,0,1798.0
New_York,COLL,2016-08,2016-08,16,22199.0
New_York,COLL,2016-08,2016-09,0,13942.0
New_York,COLL,2016-08,2016-10,0,9920.0
New_York,COLL,2016-08,2016-11,0,3482.0
New_York,COLL,2016-09,2016-09,13,22724.0
New_York,COLL,2016-09,2016-10,0,12991.0
New_York,COLL,2016-09,2016-11,0,6818.0
New_York,COLL,2016-09,2016-12,0,497.0
New_York,COLL,2016-10,2016-10,9,22954.0
New_York,COLL,2016-10,2016-11,0,13674.0
New_York,COLL,2016-10,2016-12,0,8607.0
New_York,COLL,2016-10,2017-01,0,1356.0
New_York,COLL,2016-11,2016-11,15,36589.0
New_York,COLL,2016-11,2016-12,0,23310.0
New_York,COLL,2016-11,2017-01,0,14959.0
New_York,COLL,2016-11,2017-02,0,5433.0
New_York,COLL,2016-12,2016-12,12,22471.0
New_York,COLL,2016-12,2017-01,0,13272.0
New_York,COLL,2016-12,2017-02,0,8760.0
New_York,COLL,2016-12,2017-03,0,6689.0
New_York,COLL,2017-01,2017-01,8,12725.0
New_York,COLL,2017-01,2017-02,0,8409.0
New_York,COLL,2017-01,2017-03,0,4986.0
New_York,COLL,2017-01,2017-04,0,2094.0
New_York,COLL,2017-02,2017-02,13,39421.0
New_York,COLL,2017-02,2017-03,0,24457.0
New_York,COLL,2017-02,2017-04,0,19646.0
New_York,COLL,2017-02,2017-05,0,3043.0
New_York,COLL,2017-03,2017-03,14,52072.0
New_York,COLL,2017-03,2017-04,0,36254.0
New_York,COLL,2017-03,2017-05,0,26448.0
New_York,COLL,2017-03,2017-06,0,-1609.0
New_York,COLL,2017-04,2017-04,12,26609.0
New_York,COLL,2017-04,2017-05,0,17839.0
New_York,COLL,2017-04,2017-06,0,8351.0
New_York,COLL,2017-04,2017-07,0,1327.0
New_York,COLL,2017-05,2017-05,13,34364.0
New_York,COLL,2017-05,2017-06,0,21239.0
New_York,COLL,2017-05,2017-07,0,14772.0
New_York,COLL,2017-05,2017-08,0,29.0
New_York,COLL,2017-06,2017-06,6,14325.0
New_York,COLL,2017-06,2017-07,0,8927.0
New_York,COLL,2017-06,2017-08,0,6628.0
New_York,COLL,2017-06,2017-09,0,134.0
New_York,COLL,2017-07,2017-07,11,25986.0
New_York,COLL,2017-07,2017-08,0,13578.0
New_York,COLL,2017-07,2017-09,0,16335.0
