Package,Record_Date,Stars
lifelib-dev/lifelib,Sat Jul 09 2022 05:28:00 GMT-0700 (Pacific Daylight Time),85
lifelib-dev/lifelib,Tue Aug 02 2022 01:07:04 GMT-0700 (Pacific Daylight Time),91
lifelib-dev/lifelib,Mon Oct 03 2022 18:21:44 GMT-0700 (Pacific Daylight Time),94
mages/ChainLadder,Wed Jan 07 2015 10:15:00 GMT-0800 (Pacific Standard Time),1
mages/ChainLadder,Mon Jun 15 2015 21:16:32 GMT-0700 (Pacific Daylight Time),5
mages/ChainLadder,Tue Jul 19 2016 10:12:40 GMT-0700 (Pacific Daylight Time),9
mages/ChainLadder,Sun Dec 18 2016 10:20:13 GMT-0800 (Pacific Standard Time),13
mages/ChainLadder,Sun Nov 12 2017 04:30:22 GMT-0800 (Pacific Standard Time),17
mages/ChainLadder,Sat Mar 03 2018 03:47:25 GMT-0800 (Pacific Standard Time),21
mages/ChainLadder,Thu Jul 19 2018 20:01:34 GMT-0700 (Pacific Daylight Time),25
mages/ChainLadder,Tue Nov 20 2018 20:34:09 GMT-0800 (Pacific Standard Time),29
mages/ChainLadder,Wed May 29 2019 01:35:04 GMT-0700 (Pacific Daylight Time),33
mages/ChainLadder,Fri Aug 23 2019 12:05:46 GMT-0700 (Pacific Daylight Time),37
mages/ChainLadder,Tue Mar 31 2020 05:58:14 GMT-0700 (Pacific Daylight Time),41
mages/ChainLadder,Mon May 25 2020 12:51:22 GMT-0700 (Pacific Daylight Time),45
mages/ChainLadder,Wed Dec 09 2020 22:11:55 GMT-0800 (Pacific Standard Time),49
mages/ChainLadder,Tue Jul 20 2021 23:41:51 GMT-0700 (Pacific Daylight Time),53
mages/ChainLadder,Sat Mar 12 2022 12:03:42 GMT-0800 (Pacific Standard Time),57
mages/ChainLadder,Mon Oct 03 2022 18:21:55 GMT-0700 (Pacific Daylight Time),60
fumitoh/modelx,Mon Feb 05 2018 12:07:49 GMT-0800 (Pacific Standard Time),1
fumitoh/modelx,Sat Nov 10 2018 03:15:27 GMT-0800 (Pacific Standard Time),4
fumitoh/modelx,Thu Feb 21 2019 23:55:54 GMT-0800 (Pacific Standard Time),7
fumitoh/modelx,Sat Jul 06 2019 02:23:56 GMT-0700 (Pacific Daylight Time),10
fumitoh/modelx,Wed Sep 25 2019 07:32:32 GMT-0700 (Pacific Daylight Time),13
fumitoh/modelx,Thu Dec 05 2019 11:09:34 GMT-0800 (Pacific Standard Time),16
fumitoh/modelx,Sun Apr 05 2020 02:38:29 GMT-0700 (Pacific Daylight Time),19
fumitoh/modelx,Sun May 31 2020 07:03:17 GMT-0700 (Pacific Daylight Time),22
fumitoh/modelx,Wed Dec 09 2020 09:12:56 GMT-0800 (Pacific Standard Time),25
fumitoh/modelx,Sat Feb 06 2021 05:24:44 GMT-0800 (Pacific Standard Time),28
fumitoh/modelx,Sat Feb 27 2021 18:22:46 GMT-0800 (Pacific Standard Time),31
fumitoh/modelx,Sun May 30 2021 22:48:40 GMT-0700 (Pacific Daylight Time),34
fumitoh/modelx,Fri Oct 01 2021 10:28:02 GMT-0700 (Pacific Daylight Time),37
fumitoh/modelx,Sat Feb 19 2022 04:59:52 GMT-0800 (Pacific Standard Time),40
fumitoh/modelx,Fri Apr 15 2022 14:37:30 GMT-0700 (Pacific Daylight Time),43
fumitoh/modelx,Sat Jul 23 2022 12:08:54 GMT-0700 (Pacific Daylight Time),46
fumitoh/modelx,Sun Aug 21 2022 00:49:08 GMT-0700 (Pacific Daylight Time),49
fumitoh/modelx,Mon Oct 03 2022 18:22:37 GMT-0700 (Pacific Daylight Time),51
